criticita,progetto,regione,provincia,comune,multicomune,gestore,strada,prog_ini,prog_fin,livello,criticita_descrizione,criticita_classe,criticita_funz_strada,criticita_opera,criticita_danno,intervento_prima_fase_descrizione,intervento_prima_fase_categoria,intervento_prima_fase_titolo,intervento_prima_fase_importo_investimenti,intervento_prima_fase_tempi_progetto,intervento_prima_fase_tempi_lavori,intervento_prima_fase_prorita,intervento_seconda_fase_descrizione,intervento_seconda_fase_categoria,intervento_seconda_fase_titolo,intervento_seconda_fase_importo_investimenti,intervento_seconda_fase_tempi_progetto,intervento_seconda_fase_tempi_lavori,intervento_seconda_fase_prorita,importo_complessivo,finanziamento,fondi_da_programmare
SSRM0201,"S1RI02_E_1
701",Lazio,Rieti,Borgo Velino,,Anas,SS4,93.25.00,93.04.00,1,"Dissesto del muro di sostegno della sede
stradale a mezza costa",Viabilità con ridotte condizioni di sicurezza,Aperta,"Opere
complementari","Dissesto del muro in pietrame naturale
allettato con malta cementizia povera ‐
Deformazione della struttura, perdita di
verticalità.","Realizzazione di una paratia di micropali
lungo la sede stradale e di una soletta in
cls armata a sbalzo incastrata sulla
cordolatura superiore della palificata;
ripristino della muratura con rifacimento
delle opere idrauliche, cordolo e
montaggio barriera di protezione.",Interventi strutturali per il ripristino delle condizioni di sicurezza,"S.S. 4 ‐  km 93+250 ‐ Dissesto del muro di
sostegno a seguito di eventi sismici.","470.000,00",40,45,1,,,,,,,,"470.000,00",,"470.000,00"
SSRM0204,"S1RI02_E_1
701",Lazio,Rieti,Amatrice,,Anas,SS4,130.05.00,138.25.00,1,"Dissesto del tombino carrabile in cls
armato",Viabilità con ridotte condizioni di sicurezza,Aperta,Corpo stradale,"Rottura trasversale del tombino
scatolare carrabile ‐ Danni da
infiltrazioni di acqua al di sotto del
tombino per effetto delle lesioni beanti ‐","Ripristino della continuità del manufatto
con realizzazione di paratia di micropali
a coronamento della fondazione del
tombino lato valle ‐ Realizzazione di
cordolo e collegamento del tombino alla
nuova fondazione con rivestimento
interno del tombino per ricostituire la
struttura danneggiata.",Interventi strutturali per il ripristino delle condizioni di sicurezza,"S.S. 4 ‐ km 130+500 ‐ Dissesto del
tombino carrabile in cls armato a seguito
di eventi sismici.","346.500,00",40,40,1,,,,,,,,"346.500,00",,"346.500,00"
SSRM0211,"S1RI02_E_1
702",Lazio,Rieti,Amatrice,,Anas,SS4,139.55.00,135.08.00,1,"Danneggiamento delle strutture del
Viadotto San Lorenzo L m. 325",Viabilità con ridotte condizioni di sicurezza,Limitazioni,Opere d'arte,"Viadotto in c.a.p. costituito da n. 9
campate ‐ Scivolamento della trave di
bordo rispetto all'appoggio nella
penultima campata direzione Ascoli ‐
Ammaloramenti generalizzati e diffusi
con carbonatazione dei calcestruzzi ed
espulsione del traferro. Giunti tecnici
parzialmente compromessi.","Sollevamento dell'impalcato e
riallineamento dell'appoggio.
Sostituzione di tutti gli appoggi,
sostituzione dei giunti, risanamento dei
calcestruzzi ammalorati, rifacimento
cordoli e sostituzione barriere, rinforzo
delle fondazioni, cerchiatura delle pile e
realizzazione della catena cinematica per
l’impalcato con posa in opera di ritegni e
dissipatori sismici per miglioramento
sismico.",Interventi strutturali per il ripristino delle condizioni di sicurezza +Interventi di mitigazione del rischio residuo,"S.S. 4 ‐ km 134+355 ‐ Danneggiamento
delle strutture del Viadotto San Lorenzo
a seguito di eventi sismici.","4.180.000,00",60,370,1,,,,,,,,"4.180.000,00",,"4.180.000,00"
SSRM0213,"S1RI02_E_1
703",Lazio,Rieti,Amatrice,,Anas,SS4,151.33.00,142.59.00,1,"Danneggiamento delle strutture del
Viadotto Cantoniere L m. 426",Viabilità con ridotte condizioni di sicurezza,Limitazioni,Opere d'arte,"Viadotto in c.a.p. costituito da n. 13
campate ‐ Dalla pila n. 4 alla pila n. 9
formazione di cerniere plastiche
all'incastro con espulsione del
copriferro. I ferri di armatura delle pile di
forma circolare risultano deformati. ‐
Ammaloramenti generalizzati e diffusi
con carbonatazione dei calcestruzzi ed
espulsione del traferro. Giunti tecnici
parzialmente compromessi.","Rinforzo delle pile danneggiate tramite
intelaiatura di acciaio",Interventi strutturali per il ripristino delle condizioni di sicurezza,"S.S. 4 ‐ km 135+993 ‐ Danneggiamento
delle strutture del Viadotto Cantoniere a
seguito di eventi sismici.","519.750,00",30,180,1,"Riparazione delle pile danneggiate con
idrodemolizione e rifacimento del
copriferro. Risanamento dei calcestruzzi
in elevazione e cerchiatura delle pile.
Sostituzione di tutti gli appoggi,
sostituzione dei giunti, rifacimento
cordoli, sostituzione barriere, rinforzo
delle fondazioni e realizzazione della
catena cinematica per l'impalcato con
posa in opera di ritegni e dissipatori
sismici per miglioramento sismico.",B+D,"S.S. 4 ‐ km 135+993: Danneggiamento
delle strutture del Viadotto Cantoniere a
seguito di eventi sismici.","105.754,00",60,390,1,"4.928.344,00",,"4.928.344,00"
SSRM0217,"S1RI02_E_1
705",Lazio,Rieti,Accumoli,,Anas,SS4,138.23.00,140.13.00,1,"Danneggiamento delle strutture del
Viadotto Tronto I
L m. 110",Viabilità con ridotte condizioni di sicurezza,Aperta,Opere d'arte,"Viadotto in c.a.p. costituito da n. 4
campate ‐ Danneggiamenti ai ritegni
sismici, scossaline giunti e apertura
giunti già esistenti tra muro d'ala e spalla
‐","Ripristino cls danneggiati e intonaci
ritegni  e spalle, riparazione scossaline
giunti, rinforzo delle fondazioni,
cerchiatura delle pile e realizzazione
della catena cinematica per l'impalcato
con posa in opera di ritegni e dissipatori
per miglioramento sismico.",Interventi strutturali per il ripristino delle condizioni di sicurezza +Interventi di mitigazione del rischio residuo,"S.S. 4 ‐ km 138+023 ‐ Danneggiamento
delle strutture del Viadotto Tronto I a
seguito di eventi sismici.","990.000,00",40,90,1,,,,,,,,"990.000,00",,"990.000,00"
SSRM0218,"S1RI02_E_1
705",Lazio,Rieti,Accumoli,,Anas,SS4,144.16.00,148.48.00,1,"Danneggiamento delle strutture del
Viadotto Tronto II
L m. 272",Viabilità con ridotte condizioni di sicurezza,Aperta,Opere d'arte,"Viadotto in c.a.p. costituito da n. 10
campate ‐ Danneggiamenti ai ritegni
sismici, scossaline giunti e apertura
giunti già esistenti tra muro d'ala e spalla
‐ Danneggiamenti ulteriori, sisma
Ottobre, alle sezioni di incastro tra pile e
plinto per n. 3 Fusti (pile a telaio)","Ripristino cls danneggiati e intonaci
ritegni riparazione scossaline giunti.
Risanamento dei calcestruzzi in
elevazione e cerchiatura delle pile
danneggiate, rinforzo delle fondazioni,
cerchiatura delle pile e realizzazione
della catena cinematica per l'impalcato
con posa in opera di ritegni e dissipatori
sismici per miglioramento sismico.",Interventi strutturali per il ripristino delle condizioni di sicurezza +Interventi di mitigazione del rischio residuo,"S.S. 4 ‐ km 138+376 ‐ Danneggiamento
delle strutture del Viadotto Tronto II a
seguito di eventi sismici.","2.475.000,00",60,230,1,,,,,,,,"2.475.000,00",,"2.475.000,00"
SSRM0219,"S1RI02_E_1
706",Lazio,Rieti,Accumoli,,Anas,SS4,150.52.00,140.05.00,1,"Danneggiamento delle strutture del
Viadotto Fonte del Campo
L m. 293",Viabilità con ridotte condizioni di sicurezza,Limitazioni,Opere d'arte,"Viadotto in c.a.p. costituito da n. 11
campate ‐ Dalla pila n. 6 alla pila n.10
formazione di cerniere plastiche
all'incastro con espulsione del
copriferro. I ferri di armatura delle pile di
forma circolare risultano deformati. ‐
Ammaloramenti generalizzati e diffusi
con carbonatazione dei calcestruzzi ed
espulsione del traferro. Giunti tecnici
parzialmente compromessi.","Riparazione delle pile danneggiate con
idrodemolizione e rifacimento del
copriferro. Risanamento dei calcestruzzi
in elevazione e cerchiatura delle pile,
sostituzione di tutti gli appoggi,
sostituzione dei giunti, rifacimento
cordoli, sostituzione barriere, rinforzo
delle fondazioni, cerchiatura delle pile e
realizzazione della catena cinematica per
l'impalcato con posa in opera di ritegni e
dissipatori sismici per miglioramento
sismico.",Interventi strutturali per il ripristino delle condizioni di sicurezza +Interventi di mitigazione del rischio residuo,"S.S. 4 ‐ km 139+712 ‐ Danneggiamento
delle strutture del Fonte del Campo a
seguito di eventi sismici.","3.525.000,00",60,320,1,,,,,,,,"3.525.000,00",,"3.525.000,00"
SSRM0220,"S1RI02_E_1
707",Lazio,Rieti,Accumoli,,Anas,SS4,144.38.00,145.25.00,1,"Danneggiamento delle strutture del
Ponte al km 141+218
L m. 47",Viabilità con ridotte condizioni di sicurezza,Aperta,Opere d'arte,"Ponte in c.a.p. costituito da n. 1 campate
‐ Danneggiamenti ai ritegni sismici
recentemente aggiunti, apertura giunti
già esistenti tra muro d'ala e spalla.","Ripristino intonaci Spalle, riparazione
ritegni metallici, rinforzo delle
fondazioni, cerchiatura delle pile e
realizzazione della catena cinematica per
l'impalcato con posa in opera di ritegni e
dissipatori sismici per miglioramento
sismico",Interventi strutturali per il ripristino delle condizioni di sicurezza +Interventi di mitigazione del rischio residuo,"S.S. 4 ‐ km 141+218 ‐ Danneggiamento
delle strutture del Ponte a seguito di
eventi sismici.","310.000,00",40,30,1,,,,,,,,"310.000,00",,"310.000,00"
SSRM0221,"S1RI02_E_1
707",Lazio,Rieti,Accumoli,,Anas,SS4,153.32.00,154.19.00,1,"Danneggiamento delle strutture del
Ponte al km 142+692
L m. 47",Viabilità con ridotte condizioni di sicurezza,Aperta,Opere d'arte,"Ponte in c.a.p. costituito da n. 1 campate
‐ Danneggiamenti ai ritegni sismici
recentemente aggiunti, apertura giunti
già esistenti tra muro d'ala e spalla.","Ripristino intonaci Spalle, riparazione
ritegni metallici, rinforzo delle
fondazioni, cerchiatura delle pile e
realizzazione della catena cinematica per
l'impalcato con posa in opera di ritegni e
dissipatori sismici per miglioramento
sismico.",Interventi strutturali per il ripristino delle condizioni di sicurezza +Interventi di mitigazione del rischio residuo,"S.S. 4 ‐ km 142+692 ‐ Danneggiamento
delle strutture del Ponte a seguito di
eventi sismici.","310.000,00",40,30,1,,,,,,,,"310.000,00",,"310.000,00"
SRRI0302,"R1RI03_E_1
701",Lazio,Rieti,Amatrice,,Astral,SR577,37.15.00,,1,"Danneggiamenti alle strutture del Ponte
Rio Nero.",Viabilità con ridotte condizioni di sicurezza,Aperta,Opere d'arte,"Si tratta di un ponte in c.a ad arco lungo
circa 60 metri. Un controllo puntuale ha
rivelato il disfacimento dell'intradosso
della struttura dove il copriferro manca
del tutto e in tantissimi punti le
armature, affioranti, sono
completamernte arrugginite. Le
tubazioni che permettono il deflusso
delle acque di piattaforma sono tutte","Idrodemolizione della parte ammalorata,
sistemazione delle armature degradate,
trattamento delle superfici, ripristino del
copriferro per 3 cm, protezione
superficiale dei calcestruzzi ripristinati e
l’introduzione di giunti di dilatazione.",Interventi strutturali per il ripristino delle condizioni di sicurezza,"S.R. 577 ‐ km 36+750 ‐ Danneggiamento
delle strutture del Ponte Rio Nero a
seguito di eventi sismici.","517.825,00",30,120,1,,,,,,,,"517.825,00",,"517.825,00"
